year,coordinates,center,type,color,name
-100,"[[73.8567,19.8762],[75.0,20.0],[77.0,19.0],[78.0,17.0],[76.0,16.0],[74.0,16.0],[72.0,17.0],[71.0,18.0],[72.0,19.0],[73.8567,19.8762]]","[73.8567,19.8762]",kingdom,#FFA500,"Satakarni Dynasty"
1,"[[73.8567,19.8762],[76.0,21.0],[79.0,20.0],[81.0,18.0],[79.0,16.0],[76.0,15.0],[73.0,15.0],[71.0,17.0],[72.0,19.0],[73.8567,19.8762]]","[73.8567,19.8762]",kingdom,#FFA500,"Satakarni Dynasty"
100,"[[73.8567,19.8762],[77.0,22.0],[81.0,21.0],[83.0,19.0],[81.0,16.0],[77.0,14.0],[73.0,14.0],[70.0,16.0],[71.0,19.0],[73.8567,19.8762]]","[73.8567,19.8762]",kingdom,#FFA500,"Satakarni Dynasty"
